epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.88,1.63723,1.55879,1.1728,0.72737,0.63557,0.67962,0.35507,1.52294,1.24469,1.22219,0.000415894,0.000415894,0.000415894
2,523.814,1.56008,1.00979,1.15347,0.75725,0.7336,0.76954,0.41727,1.47436,1.01564,1.21523,0.000777611,0.000777611,0.000777611
3,736.563,1.5383,0.92698,1.14657,0.79149,0.73322,0.77229,0.41975,1.48609,1.01293,1.20797,0.00108433,0.00108433,0.00108433
4,948.532,1.52758,0.90922,1.14914,0.82379,0.76315,0.80877,0.45043,1.43676,0.91676,1.18938,0.0010025,0.0010025,0.0010025
5,1167.23,1.50894,0.86594,1.1348,0.83614,0.76479,0.81502,0.45741,1.42795,0.89904,1.1823,0.00092,0.00092,0.00092
6,1423.23,1.49634,0.79987,1.14233,0.82641,0.77833,0.82513,0.47231,1.40508,0.86221,1.16689,0.0008375,0.0008375,0.0008375
7,1632.47,1.47514,0.76749,1.13327,0.84727,0.77435,0.83591,0.48151,1.36494,0.8321,1.14981,0.000755,0.000755,0.000755
8,1843.47,1.46323,0.74004,1.12513,0.84688,0.7825,0.84178,0.48592,1.36805,0.8094,1.14827,0.0006725,0.0006725,0.0006725
9,2054.46,1.44653,0.72235,1.11884,0.84454,0.80343,0.85163,0.50123,1.34906,0.79067,1.14737,0.00059,0.00059,0.00059
10,2267.9,1.43524,0.70617,1.111,0.85344,0.81873,0.86276,0.51301,1.33552,0.77382,1.13523,0.0005075,0.0005075,0.0005075
11,2480.07,1.41787,0.68558,1.10835,0.85128,0.82357,0.85907,0.51241,1.32561,0.76951,1.13066,0.000425,0.000425,0.000425
12,2690.77,1.40674,0.6716,1.09904,0.86649,0.82072,0.86762,0.52444,1.30655,0.73834,1.11647,0.0003425,0.0003425,0.0003425
13,2905.71,1.39473,0.65363,1.09223,0.86957,0.81943,0.87197,0.52808,1.29583,0.72027,1.10971,0.00026,0.00026,0.00026
14,3119.4,1.37582,0.63742,1.08447,0.87772,0.81726,0.87514,0.53142,1.28786,0.71335,1.10785,0.0001775,0.0001775,0.0001775
15,3345.02,1.36456,0.62413,1.08048,0.86779,0.82883,0.87513,0.53339,1.28284,0.71054,1.10597,9.5e-05,9.5e-05,9.5e-05
