epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,492.089,0.7351,0.88517,0.21096,0.78761,0.7333,0.76516,0.42907,0.49342,0.56215,0.15693,0.000475733,0.000475733,0.000475733
2,953.653,0.57358,0.48365,0.12303,0.82389,0.75493,0.79541,0.45025,0.49485,0.57493,0.1651,0.00088923,0.00088923,0.00088923
3,1406.74,0.55864,0.48337,0.12237,0.82452,0.78904,0.82148,0.47892,0.46939,0.53606,0.15251,0.00123985,0.00123985,0.00123985
4,1861.57,0.54862,0.47243,0.11671,0.84066,0.77404,0.8218,0.47636,0.46782,0.51974,0.15653,0.00114606,0.00114606,0.00114606
5,2332.47,0.54354,0.46562,0.11578,0.83527,0.78552,0.83294,0.49073,0.4706,0.51011,0.15452,0.00105174,0.00105174,0.00105174
6,2827.3,0.48959,0.46095,0.12683,0.82205,0.80263,0.82588,0.48896,0.46816,0.51442,0.15475,0.00095743,0.00095743,0.00095743
7,3353.2,0.48179,0.45256,0.12282,0.82157,0.8132,0.83837,0.49343,0.468,0.50831,0.15895,0.000863116,0.000863116,0.000863116
8,3806.48,0.47937,0.44721,0.12151,0.85799,0.80119,0.84901,0.4984,0.46923,0.49499,0.15029,0.000768802,0.000768802,0.000768802
9,4257.64,0.47346,0.44008,0.11774,0.84694,0.82864,0.86166,0.52054,0.45673,0.49426,0.14698,0.000674488,0.000674488,0.000674488
10,4714.07,0.46451,0.43524,0.11306,0.83855,0.80676,0.84602,0.50691,0.45899,0.50904,0.15658,0.000580174,0.000580174,0.000580174
11,5175.41,0.46042,0.43378,0.11126,0.84729,0.81683,0.8593,0.51714,0.44841,0.48947,0.14578,0.00048586,0.00048586,0.00048586
12,5625.7,0.45219,0.42735,0.11116,0.84915,0.82339,0.85147,0.51457,0.45159,0.49719,0.14596,0.000391546,0.000391546,0.000391546
13,6081.12,0.44677,0.41696,0.10565,0.85307,0.83808,0.86356,0.52489,0.44493,0.50031,0.14539,0.000297232,0.000297232,0.000297232
14,6535.96,0.4368,0.4166,0.10231,0.86265,0.83566,0.87056,0.52971,0.44624,0.4879,0.14307,0.000202918,0.000202918,0.000202918
15,6989.43,0.43014,0.40943,0.10183,0.85117,0.84717,0.86806,0.52853,0.44515,0.48082,0.14558,0.000108604,0.000108604,0.000108604
