epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.79,1.62613,1.30515,1.23393,0.71297,0.68692,0.70777,0.372,1.53637,1.17577,1.27155,0.000475134,0.000475134,0.000475134
2,202.925,1.59934,1.03511,1.19879,0.74439,0.68668,0.71725,0.37455,1.57446,1.20085,1.27589,0.00088867,0.00088867,0.00088867
3,297.165,1.59537,1.01506,1.19683,0.7641,0.68552,0.7257,0.38684,1.51463,1.14939,1.24117,0.00123933,0.00123933,0.00123933
4,391.024,1.56362,0.97031,1.18744,0.78339,0.71299,0.75867,0.41531,1.49143,1.09499,1.22734,0.00114606,0.00114606,0.00114606
5,484.887,1.53848,0.92294,1.16855,0.77854,0.71368,0.75484,0.41623,1.48267,1.03161,1.21866,0.00105174,0.00105174,0.00105174
6,599.583,1.52349,0.87916,1.17783,0.79901,0.73275,0.7774,0.43335,1.4473,1.02324,1.21327,0.00095743,0.00095743,0.00095743
7,692.708,1.50332,0.83607,1.1668,0.83687,0.74629,0.80598,0.44906,1.45896,0.94834,1.21896,0.000863116,0.000863116,0.000863116
8,785.336,1.48106,0.79016,1.1558,0.82853,0.74452,0.80006,0.45174,1.43725,0.96074,1.19379,0.000768802,0.000768802,0.000768802
9,877.871,1.46268,0.77092,1.14286,0.82838,0.76387,0.81421,0.46426,1.40785,0.92335,1.18306,0.000674488,0.000674488,0.000674488
10,970.918,1.44238,0.74552,1.12813,0.85139,0.7693,0.82228,0.47795,1.39738,0.90955,1.16867,0.000580174,0.000580174,0.000580174
11,1062.13,1.43248,0.71684,1.12737,0.8368,0.75587,0.81991,0.46166,1.40214,0.9097,1.16867,0.00048586,0.00048586,0.00048586
12,1153.52,1.40388,0.69396,1.11965,0.8388,0.77817,0.83533,0.48583,1.39126,0.87637,1.1659,0.000391546,0.000391546,0.000391546
13,1245.4,1.3858,0.67111,1.10418,0.83755,0.79273,0.836,0.49118,1.36152,0.84855,1.15605,0.000297232,0.000297232,0.000297232
14,1337.31,1.37648,0.65441,1.10093,0.85669,0.79818,0.84661,0.49476,1.38443,0.85317,1.16315,0.000202918,0.000202918,0.000202918
15,1428.83,1.35552,0.63303,1.09267,0.86549,0.7999,0.85004,0.50659,1.35308,0.83324,1.1518,0.000108604,0.000108604,0.000108604
