epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,857.155,1.52267,1.04483,1.23756,0.84054,0.80687,0.84973,0.48719,1.34693,0.80001,1.21458,0.00999072,0.00333024,0.00999072,0.00333024,0.00999072,0.00333024,0.00999072,0.00333024
2,1772.63,1.47841,0.81314,1.183,0.8516,0.77269,0.83109,0.46942,1.3833,0.86657,1.23523,0.0195949,0.00653164,0.0195949,0.00653164,0.0195949,0.00653164,0.0195949,0.00653164
3,2643.43,1.51274,0.87034,1.2097,0.81064,0.73701,0.77083,0.42471,1.44775,0.96091,1.29806,0.0288031,0.00960103,0.0288031,0.00960103,0.0288031,0.00960103,0.0288031,0.00960103
4,3499.92,1.52444,0.88688,1.21876,0.81877,0.77503,0.80865,0.46574,1.38625,0.89283,1.26704,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4356.98,1.49056,0.83555,1.20799,0.82547,0.79197,0.8348,0.47449,1.36888,0.80677,1.26151,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5213.13,1.47212,0.79922,1.19919,0.85048,0.81646,0.85478,0.50103,1.34991,0.78837,1.24644,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6068.35,1.43628,0.76726,1.18878,0.85923,0.82229,0.86734,0.5076,1.33136,0.7537,1.24327,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6757.81,1.42909,0.75164,1.17746,0.87385,0.80772,0.86756,0.5062,1.32814,0.73714,1.22926,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,7283.61,1.40928,0.73099,1.17048,0.85243,0.84854,0.87325,0.52261,1.30164,0.74176,1.21367,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,7808.16,1.39495,0.7137,1.16392,0.85187,0.85241,0.87416,0.52223,1.29771,0.72305,1.20061,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,8331.22,1.39226,0.70159,1.15728,0.85979,0.83915,0.878,0.52845,1.28312,0.70734,1.1856,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,8856.98,1.38312,0.68826,1.1524,0.86273,0.83928,0.87393,0.52499,1.28451,0.70409,1.18852,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,9379.09,1.37862,0.685,1.14352,0.86491,0.83745,0.86962,0.53146,1.27496,0.69707,1.18688,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,9901.73,1.36821,0.6703,1.14083,0.88091,0.84116,0.88374,0.54305,1.26514,0.6817,1.17442,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,10424.3,1.36516,0.66565,1.13758,0.86814,0.84183,0.87798,0.53782,1.26967,0.68415,1.17686,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,10946.9,1.34934,0.65468,1.13631,0.86802,0.86015,0.88679,0.54651,1.25136,0.66659,1.16644,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,11470.4,1.3493,0.65053,1.13266,0.87859,0.85018,0.88653,0.54802,1.24844,0.65151,1.17053,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,11993.6,1.34524,0.63905,1.13061,0.87358,0.85601,0.89404,0.55403,1.24885,0.64601,1.17247,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,12516.2,1.3362,0.63225,1.12675,0.87724,0.86022,0.89151,0.55448,1.24948,0.63794,1.17507,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,13039.1,1.32416,0.62949,1.12118,0.88159,0.84933,0.89114,0.55317,1.24593,0.64642,1.1647,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,13562,1.32114,0.62148,1.12324,0.88472,0.84987,0.89062,0.55378,1.23536,0.63911,1.1601,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,14084.9,1.31697,0.6161,1.1177,0.86857,0.8568,0.89291,0.55997,1.22891,0.62542,1.16171,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,14610.3,1.31425,0.61293,1.11849,0.88377,0.85144,0.89554,0.56238,1.22504,0.62249,1.15101,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,15132.8,1.30676,0.60565,1.10819,0.88012,0.85934,0.89936,0.56282,1.22879,0.61793,1.14684,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,15656.5,1.29962,0.60199,1.10894,0.88381,0.85968,0.89918,0.565,1.22561,0.61671,1.15119,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,16179.8,1.29538,0.59312,1.09764,0.88818,0.85259,0.89792,0.56398,1.21857,0.61457,1.13736,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,16703.1,1.29346,0.58837,1.09598,0.87107,0.86454,0.89782,0.56393,1.21564,0.60726,1.14083,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,17225,1.28548,0.58216,1.09885,0.88241,0.86166,0.89848,0.56679,1.21177,0.60597,1.13739,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,17747,1.28166,0.57686,1.09269,0.88662,0.86197,0.89628,0.56594,1.21654,0.60048,1.14295,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,18269.5,1.26558,0.5689,1.08811,0.88147,0.86435,0.89466,0.56556,1.20841,0.5984,1.13509,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,18791.3,1.27251,0.5693,1.08994,0.89237,0.85606,0.89428,0.5659,1.20883,0.59349,1.14238,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,19314.3,1.25689,0.56282,1.08676,0.88526,0.86382,0.89306,0.56449,1.20971,0.59828,1.13746,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,19838,1.25674,0.55754,1.08393,0.88987,0.86346,0.89,0.56248,1.21083,0.59738,1.1444,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,20360.4,1.25082,0.5542,1.08122,0.89604,0.85718,0.8937,0.56546,1.20903,0.59843,1.14171,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,20882.2,1.2483,0.54999,1.07891,0.89044,0.86304,0.89766,0.56609,1.20648,0.59144,1.13908,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,21404.5,1.23985,0.54226,1.07404,0.89349,0.86297,0.89759,0.56774,1.20591,0.58785,1.13686,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,21928.5,1.23332,0.53643,1.07406,0.89236,0.86221,0.89725,0.56888,1.20506,0.58463,1.1428,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,22451.3,1.2305,0.53438,1.0728,0.89256,0.86105,0.89464,0.56771,1.20382,0.58744,1.14274,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,22974.3,1.2261,0.5295,1.07051,0.89301,0.8632,0.89385,0.56865,1.20429,0.58664,1.14274,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,23496.6,1.21364,0.5213,1.06369,0.89168,0.86369,0.89468,0.56774,1.20437,0.58675,1.14136,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,24045.8,1.20673,0.4784,1.07387,0.89379,0.86018,0.89433,0.56786,1.20268,0.58636,1.1424,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,24567.8,1.19636,0.47122,1.0678,0.89512,0.85898,0.89426,0.5676,1.20182,0.5861,1.14278,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,25092.7,1.18647,0.46495,1.05896,0.8941,0.86378,0.89528,0.56794,1.20061,0.5843,1.1409,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,25615.1,1.18041,0.46042,1.05487,0.89539,0.86405,0.89525,0.56821,1.20001,0.58222,1.13904,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,26136.1,1.17176,0.45495,1.05824,0.89218,0.86337,0.89498,0.5675,1.19995,0.58349,1.14204,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
