epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.721,1.58759,1.17333,1.29168,0.73817,0.65048,0.67885,0.34866,1.56477,1.18256,1.43021,0.000475134,0.000475134,0.000475134
2,567.654,1.59406,1.02233,1.28081,0.75953,0.69523,0.72071,0.37487,1.54726,1.10227,1.38351,0.000920068,0.000920068,0.000920068
3,817.596,1.58977,1.00835,1.2761,0.73902,0.70578,0.71138,0.37739,1.51329,1.17118,1.3551,0.00133357,0.00133357,0.00133357
4,1065.72,1.55489,0.96001,1.25957,0.80783,0.71735,0.76919,0.41559,1.50237,1.02041,1.3558,0.00128753,0.00128753,0.00128753
5,1290.54,1.52313,0.89978,1.23904,0.75955,0.74939,0.75179,0.40957,1.4874,1.04078,1.33086,0.00124037,0.00124037,0.00124037
6,1500.43,1.49657,0.8668,1.22812,0.8016,0.74782,0.78488,0.43912,1.4394,0.97954,1.30205,0.00119322,0.00119322,0.00119322
7,1701.43,1.47802,0.82878,1.22003,0.81039,0.78167,0.79778,0.45567,1.40371,0.93495,1.28755,0.00114606,0.00114606,0.00114606
8,1945.07,1.46493,0.80776,1.20782,0.81576,0.77686,0.80961,0.45425,1.42111,0.93741,1.29314,0.0010989,0.0010989,0.0010989
9,2162.28,1.44907,0.79463,1.20647,0.8259,0.78163,0.81744,0.46972,1.40262,0.8827,1.2764,0.00105174,0.00105174,0.00105174
10,2406.65,1.43415,0.78011,1.19765,0.84554,0.78061,0.827,0.47252,1.42796,0.91634,1.30675,0.00100459,0.00100459,0.00100459
11,2640.51,1.42193,0.75367,1.18528,0.83099,0.80257,0.8379,0.48482,1.39424,0.86015,1.26072,0.00095743,0.00095743,0.00095743
12,2870.02,1.41053,0.74164,1.18178,0.84219,0.79776,0.83501,0.48575,1.38524,0.86282,1.26841,0.000910273,0.000910273,0.000910273
13,3100.94,1.40558,0.73669,1.17761,0.85193,0.81272,0.85107,0.50095,1.37378,0.83323,1.25782,0.000863116,0.000863116,0.000863116
14,3330.48,1.38727,0.71868,1.17776,0.84459,0.81998,0.84429,0.49437,1.39131,0.83518,1.27446,0.000815959,0.000815959,0.000815959
15,3557.27,1.39402,0.71098,1.17068,0.82504,0.81377,0.83204,0.48386,1.37392,0.85421,1.2578,0.000768802,0.000768802,0.000768802
16,3785.7,1.37315,0.69801,1.15926,0.86898,0.81366,0.85047,0.49942,1.38566,0.82719,1.2643,0.000721645,0.000721645,0.000721645
17,4013.25,1.37349,0.68502,1.16472,0.85236,0.83017,0.85042,0.50454,1.35911,0.81797,1.24696,0.000674488,0.000674488,0.000674488
18,4238.98,1.35555,0.66935,1.15466,0.83425,0.8193,0.84295,0.50141,1.35636,0.81522,1.25074,0.000627331,0.000627331,0.000627331
19,4464.3,1.34544,0.66577,1.15211,0.84845,0.82843,0.85632,0.50887,1.33556,0.82532,1.23438,0.000580174,0.000580174,0.000580174
20,4691.22,1.34574,0.6543,1.14581,0.86042,0.82821,0.85904,0.51416,1.33326,0.79789,1.22196,0.000533017,0.000533017,0.000533017
21,4947.99,1.34397,0.60973,1.1638,0.85295,0.8328,0.86019,0.51558,1.32992,0.79942,1.23605,0.00048586,0.00048586,0.00048586
22,5187.06,1.33282,0.59495,1.16029,0.8426,0.82913,0.85195,0.50725,1.35698,0.81278,1.2433,0.000438703,0.000438703,0.000438703
23,5441.41,1.32511,0.5824,1.14685,0.85722,0.82774,0.85866,0.51375,1.33728,0.80945,1.23172,0.000391546,0.000391546,0.000391546
24,5691.87,1.31299,0.57463,1.14231,0.85855,0.84442,0.86396,0.52051,1.32649,0.77055,1.222,0.000344389,0.000344389,0.000344389
25,5942.4,1.29918,0.56199,1.13877,0.85455,0.84042,0.86525,0.52139,1.32082,0.77163,1.22319,0.000297232,0.000297232,0.000297232
26,6185.76,1.2842,0.55122,1.12754,0.86265,0.84192,0.86758,0.52213,1.31859,0.76331,1.22405,0.000250075,0.000250075,0.000250075
27,6448.96,1.26968,0.53851,1.12079,0.8618,0.84208,0.86448,0.52376,1.31756,0.76906,1.21815,0.000202918,0.000202918,0.000202918
28,6703.54,1.26517,0.52959,1.1163,0.85868,0.84138,0.86615,0.52705,1.31574,0.76127,1.22237,0.000155761,0.000155761,0.000155761
29,6935.06,1.25172,0.51911,1.11029,0.86779,0.8416,0.86729,0.52703,1.31525,0.75925,1.22176,0.000108604,0.000108604,0.000108604
30,7169.8,1.23869,0.50906,1.10402,0.85896,0.84364,0.86427,0.52806,1.30189,0.76451,1.21393,6.1447e-05,6.1447e-05,6.1447e-05
